"Frequency";"Serial";"IdCol";"TagNumber";"BirthDate"
148.82;39705;"11AS10";"Blue6";""
148.78;39701;"13AS04";"Blue2";"5/14/2020"
148.66;39704;"14AS20";"Green5";""
148.76;39710;"14AS49";"Red0";"5/8/2020"
148.64;39706;"14AS50";"White7";"5/14/2020"
148.98;38734;"15AS12";"Blue7";"4/28/2020"
148.9;38728;"15AS20";"White9";""
148.96;38731;"16AS65";"Green9";""
148.94;38730;"17AS07";"Yellow4";"5/14/2020"
148.7;39709;"18AS16";"Green1";"5/15/2020"
148.74;39699;"18AS18";"White0";"5/16/2020"
148.88;39702;"19AS02";"White3";"5/11/2020"
148.92;38729;"19AS34";"Red8";""
